"","tourney_name","surface","tourney_level","name","hand","height","age","score","best_of","round","minutes","ace","df","svpt","first_in","first_won","second_won","sv_gms","bp_saved","bp_faced","rank","rank_pts","tourney_seed","total_games","bp_att","total_pts","winner"
"1","Delray Beach","Hard","A","Adrian Mannarino",0,183,30.6392881588,"6-2 7-6(3)",3,"R16",78,5,0,52,33,26,14,10,0,1,51,920,"8",20,5,119,1
"2","Delray Beach","Hard","A","Adrian Mannarino",0,183,30.6392881588,"6-2 6-2",3,"R32",52,2,0,39,25,20,13,8,2,2,51,920,"8",16,7,92,1
"3","Indian Wells Masters","Hard","M","Adrian Mannarino",0,183,30.6776180698,"6-2 6-7(5) 6-1",3,"R128",146,5,2,95,51,36,28,14,5,6,52,920,"",27,12,187,1
"4","Miami Masters","Hard","M","Adrian Mannarino",0,183,30.7159479808,"4-6 6-4 6-2",3,"R128",134,5,1,81,45,32,20,14,3,6,55,900,"",28,14,179,1
"5","Madrid Masters","Clay","M","Adrian Mannarino",0,183,30.8501026694,"7-5 5-7 6-1",3,"R64",140,3,1,97,57,39,21,16,4,9,56,915,"",31,8,188,1
"6","Roland Garros","Clay","G","Adrian Mannarino",0,183,30.9075975359,"6-7(7) 6-3 3-6 6-2 6-2",5,"R128",224,5,2,170,105,72,33,23,8,12,48,976,"",46,12,317,1
"7","'s-Hertogenbosch","Grass","A","Adrian Mannarino",0,183,30.945927447,"7-6(7) 6-3",3,"F",121,4,2,89,54,38,20,11,6,7,44,1011,"",21,4,159,1
"8","'s-Hertogenbosch","Grass","A","Adrian Mannarino",0,183,30.945927447,"4-6 6-3 7-6(4)",3,"SF",157,3,4,99,63,47,15,16,2,5,44,1011,"",31,7,194,1
"9","'s-Hertogenbosch","Grass","A","Adrian Mannarino",0,183,30.945927447,"4-6 7-5 6-3",3,"QF",145,4,6,114,76,46,20,16,8,13,44,1011,"",31,12,204,1
"10","'s-Hertogenbosch","Grass","A","Adrian Mannarino",0,183,30.945927447,"1-6 6-3 6-4",3,"R16",102,1,4,88,52,30,21,13,8,12,44,1011,"",26,4,159,1
"11","'s-Hertogenbosch","Grass","A","Adrian Mannarino",0,183,30.945927447,"6-2 6-1",3,"R32",59,3,0,42,21,17,16,8,0,0,44,1011,"",15,13,97,1
"12","Antalya","Grass","A","Adrian Mannarino",0,183,30.984257358,"3-6 6-1 7-5",3,"R16",119,14,5,79,45,35,18,14,0,2,37,1171,"2",28,15,175,1
"13","Washington","Hard","A","Adrian Mannarino",0,183,31.0800821355,"7-6(3) 6-3",3,"R64",114,7,0,74,45,35,15,10,4,6,66,861,"",21,11,158,1
"14","Canada Masters","Hard","M","Adrian Mannarino",0,183,31.099247091,"6-2 6-1",3,"R32",65,12,3,40,28,23,7,7,0,0,69,836,"",15,9,90,1
