"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_sec_in_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","surface"
"1","Adrian Mannarino",0.333333333333333,0.650746268656716,0.394084481230143,0.518867924528302,0.382671480144404,0.036101083032491,1.42098273572377,0.0938628158844765,0.0697674418604651,0.480769230769231,30.86607346565,0.0126353790613718,0,52.5,"Clay"
"2","Albert Ramos",0.647058823529412,0.692704970948999,0.357948208391942,0.573170731707317,0.337865677791512,0.0370828182941904,1.33462496540271,0.0786979810465595,0.102713987473904,0.628272251308901,31.3233482304676,0.0238978162340338,0,85.8235294117647,"Clay"
"3","Alex De Minaur",0.2,0.650406504065041,0.378985957228922,0.485714285714286,0.35264483627204,0.0302267002518892,1.4718045112782,0.120906801007557,0.103626943005181,0.583333333333333,20.236550308,0.0277078085642317,1,26,"Clay"
"4","Alexander Bublik",0.5,0.803921568627451,0.415952672378621,0.548387096774194,0.354961832061069,0.175572519083969,1.84210526315789,0.0725190839694656,0.087248322147651,0.578947368421053,21.9411362081,0.0610687022900763,1,91,"Clay"
"5","Alexander Zverev",0.666666666666667,0.725392296718973,0.336538165372122,0.546617915904936,0.260352213231794,0.109947643979058,1.41734860883797,0.0828177058543551,0.10812023328847,0.563218390804598,22.0823636778417,0.0723465016658734,1,4.29166666666667,"Clay"
"6","Aljaz Bedene",0.588235294117647,0.703812316715543,0.457694955340989,0.538602941176471,0.426666666666667,0.0713725490196078,1.35093509350935,0.102745098039216,0.0965283657917019,0.610687022900763,29.7356363489706,0.0384313725490196,1,75,"Clay"
"7","Andreas Seppi",0,0.642857142857143,0.43970716694045,0.48068669527897,0.408771929824561,0.0385964912280702,1.46684350132626,0.1,0.0559701492537313,0.491228070175439,35.2032854209429,0.0263157894736842,1,63.5714285714286,"Clay"
"8","Andrey Rublev",0.625,0.740437158469945,0.414738318814638,0.551440329218107,0.384493670886076,0.0617088607594937,1.50116822429907,0.0917721518987342,0.0980091883614089,0.603448275862069,21.713894592775,0.0363924050632911,1,79,"Clay"
"9","Benoit Paire",0.736842105263158,0.781774580335731,0.505754943872696,0.558368495077356,0.423718712753278,0.0923718712753278,1.58233117483811,0.0911799761620977,0.103270223752151,0.647058823529412,29.9971901005211,0.0792610250297974,1,51.0526315789474,"Clay"
"10","Bernard Tomic",0.2,0.596774193548387,0.33464382385951,0.426086956521739,0.309973045822102,0.0566037735849057,1.77604166666667,0.121293800539084,0.0643086816720257,0.533333333333333,26.50732375086,0.0215633423180593,1,79,"Clay"
"11","Borna Coric",0.571428571428571,0.742895805142084,0.391359110383643,0.592190889370933,0.372977346278317,0.0542071197411003,1.33843017329256,0.063915857605178,0.0985611510791367,0.569620253164557,22.4804928131643,0.029126213592233,1,14.3571428571429,"Clay"
"12","Bradley Klahn",0,0.682352941176471,0.46211251435132,0.582089552238806,0.424050632911392,0.069620253164557,1.52356020942408,0.139240506329114,0.0451127819548872,0.727272727272727,28.6995208761,0.0379746835443038,0,91,"Clay"
"13","Cameron Norrie",0.333333333333333,0.649087221095335,0.388225765855889,0.520295202952029,0.336645962732919,0.0372670807453416,1.46822429906542,0.115527950310559,0.0796344647519582,0.548387096774194,23.6328998403,0.0509316770186335,0,53,"Clay"
"14","Casper Ruud",0.7,0.713675213675214,0.340248188171942,0.598108747044917,0.298728813559322,0.0451977401129944,1.46964856230032,0.0840395480225989,0.0900297619047619,0.663865546218487,20.47310061602,0.0402542372881356,1,73.75,"Clay"
"15","Christian Garin",0.689655172413793,0.703597122302158,0.39849254997568,0.536439665471924,0.365821678321678,0.0511363636363636,1.47855313700384,0.100961538461538,0.0990990990990991,0.675324675324675,22.8489697656241,0.0266608391608392,1,67.1379310344828,"Clay"
"16","Corentin Moutet",0,0.578125,0.390783744557329,0.6,0.238095238095238,0.00952380952380952,1.42424242424242,0.123809523809524,0.115384615384615,0.153846153846154,20.24777549625,0.152380952380952,0,80.5,"Clay"
"17","Damir Dzumhur",0.5,0.64769647696477,0.307776470116676,0.5,0.283018867924528,0.0245283018867925,1.46629986244842,0.0962264150943396,0.121268656716418,0.607843137254902,27.0522473191833,0.0207547169811321,1,68.8333333333333,"Clay"
