"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_sec_in_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","surface"
"1","Adrian Mannarino",0.666666666666667,0.702355460385439,0.414607377857044,0.592857142857143,0.358974358974359,0.0602564102564103,1.38878676470588,0.0820512820512821,0.0889192886456908,0.65625,30.971480721,0.0423076923076923,0,44.2222222222222,"Grass"
"2","Albert Ramos",0,0.644067796610169,0.337078651685393,0.433333333333333,0.337078651685393,0.0337078651685393,1.53571428571429,0.123595505617978,0.0481927710843374,0.636363636363636,31.4524298426,0,0,99,"Grass"
"3","Alex De Minaur",0.4,0.732441471571906,0.376717092431378,0.62962962962963,0.341052631578947,0.0484210526315789,1.50546021840874,0.0610526315789474,0.073469387755102,0.620689655172414,20.33620807666,0.0294736842105263,1,26.4,"Grass"
"4","Alexander Bublik",0.571428571428571,0.727272727272727,0.434417556496283,0.54726368159204,0.344178082191781,0.133561643835616,1.71951219512195,0.0821917808219178,0.0735294117647059,0.458333333333333,22.0588637918857,0.0907534246575342,1,83.1428571428571,"Grass"
"5","Alexander Zverev",0.4,0.765472312703583,0.323509992678886,0.508928571428571,0.245614035087719,0.179824561403509,1.57142857142857,0.100877192982456,0.108974358974359,0.695652173913043,22.1612594114,0.081140350877193,1,5,"Grass"
"6","Aljaz Bedene",0.25,0.723577235772358,0.398717422379811,0.534246575342466,0.362282878411911,0.11166253101737,1.48653846153846,0.0769230769230769,0.0648648648648649,0.612903225806452,29.918548939075,0.0272952853598015,1,90.5,"Grass"
"7","Andreas Seppi",0.555555555555556,0.770877944325482,0.41445416217185,0.557046979865772,0.373902132998745,0.095357590966123,1.62089552238806,0.067754077791719,0.0961538461538462,0.648148148148148,35.2394858924556,0.0401505646173149,1,63.6666666666667,"Grass"
"8","Andrey Rublev",0.5,0.648854961832061,0.411261408083442,0.604651162790698,0.387387387387387,0.0855855855855856,1.74444444444444,0.0990990990990991,0.124497991967871,0.590909090909091,21.6947296372,0.0225225225225225,1,79,"Grass"
"9","Benoit Paire",0.4,0.780141843971631,0.482408744638078,0.587962962962963,0.405253283302064,0.133208255159475,1.65329052969502,0.0544090056285178,0.0583501006036217,0.551724137931034,30.1349760438,0.0656660412757974,1,31.2,"Grass"
"10","Bernard Tomic",0,0.571428571428571,0.279411764705882,0.555555555555556,0.264705882352941,0.0147058823529412,2.1551724137931,0.132352941176471,0,0.333333333333333,26.6913073238,0.0147058823529412,1,96,"Grass"
"11","Borna Coric",0.8,0.756329113924051,0.31826351212246,0.574324324324324,0.316239316239316,0.113247863247863,1.36472346786248,0.0598290598290598,0.0471910112359551,0.714285714285714,22.5757700205,0.00854700854700855,1,14,"Grass"
"12","Bradley Klahn",0.25,0.713541666666667,0.387254280642195,0.601941747572815,0.325949367088608,0.0981012658227848,1.54133333333333,0.0917721518987342,0.0534351145038168,0.793103448275862,28.862422997925,0.0664556962025316,0,87.25,"Grass"
"13","Brayden Schnur",0,0.641025641025641,0.458333333333333,0.533333333333333,0.416666666666667,0.0694444444444444,1.62068965517241,0.0972222222222222,0.072463768115942,0.428571428571429,24.0301163587,0.0416666666666667,1,97,"Grass"
